date,nav,scheme_code,fund_name
2020-12-15,78.3565,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-16,78.6263,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-17,79.1871,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-18,80.1387,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-21,77.0238,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-22,78.4177,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-23,79.6855,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-24,80.2602,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-28,81.1267,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-29,81.4013,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-30,81.2929,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2020-12-31,81.4326,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-01,82.3932,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-04,83.323,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-05,84.2546,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-06,84.3043,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-07,83.8689,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-08,85.6288,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-11,85.8252,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-12,85.5099,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-13,85.51,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-14,85.9377,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-15,84.9691,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-18,83.4649,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-19,84.8174,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-20,84.4445,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-21,83.4044,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-22,82.2957,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-25,81.1978,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-27,79.5643,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-28,79.5197,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-01-29,79.1266,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-01,80.247,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-02,80.7035,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-03,82.0092,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-04,82.3549,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-05,82.0774,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-08,83.0765,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-09,83.4124,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-10,83.4387,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-11,83.362,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-12,83.2503,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-15,83.2045,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-16,83.0116,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-17,83.0735,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-18,83.0797,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-19,82.2455,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-22,81.5641,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-23,81.801,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-24,82.0946,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-25,83.7388,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-02-26,83.5002,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-01,85.2498,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-02,86.9881,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-03,87.3625,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-04,88.2736,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-05,86.7431,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-08,87.5496,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-09,87.5484,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-10,87.4713,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-12,87.2898,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-15,87.2741,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-16,87.8189,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-17,85.7745,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-18,85.3837,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-19,88.3019,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-22,89.3146,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-23,89.6235,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-24,88.0379,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-25,86.5314,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-26,87.4733,120841,HDFC Index Fund - Nifty 50 Plan - Growth
2021-03-30,89.5502,120841,HDFC Index Fund - Nifty 50 Plan - Growth
